name,address,website,phone_number,total_reviews,latest_review_date
Redbird,"114 E 2nd St, Los Angeles, CA 90012, United States",http://www.redbird.la/,,1587,a day ago
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017, United States",http://www.bottegalouie.com/,+1 213-802-1470,7076,a day ago
Girl & the Goat Los Angeles,"555-3 Mateo St, Los Angeles, CA 90013, United States",http://girlandthegoat.com/,+1 213-799-4628,2201,8 hours ago
The Little Door,"8164 W 3rd St, Los Angeles, CA 90048, United States",https://thelittledoor.com/,+1 323-951-1210,1076,a week ago
Chi Spacca,"6610 Melrose Ave, Los Angeles, CA 90038, United States",http://www.chispacca.com/,+1 323-297-1133,428,a day ago
Bestia,"2121 E 7th Pl, Los Angeles, CA 90021, United States",http://www.bestiala.com/,+1 213-514-5724,3620,11 hours ago
Rossoblu,"1124 San Julian St, Los Angeles, CA 90015, United States",https://www.rossoblula.com/,+1 213-749-1099,913,a week ago
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, United States",http://www.republiquela.com/,+1 310-362-6115,6157,8 hours ago
Fleming’s Prime Steakhouse & Wine Bar,"800 W Olympic Blvd Suite A-135, Los Angeles, CA 90015, United States",https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles?y_source=1_MTU1MDMxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 213-745-9911,1542,a day ago
Yard House,"800 W Olympic Blvd A-115, Los Angeles, CA 90015, United States",https://www.yardhouse.com/locations/ca/los-angeles/los-angeles-la-live/8321?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:los-angeles-ca-8321_pl:locurl_rd:1019,+1 213-745-9273,6546,16 hours ago
The Capital Grille,"700 W 9th St Unit B, Los Angeles, CA 90015, United States",https://www.thecapitalgrille.com/locations/ca/los-angeles/los-angeles/8067?cmpid=br:tcg_ag:ie_ch:loc_ca:TCGGMB_sn:gmb_gt:los-angeles-ca-8067_pl:locurl_rd:1060,+1 213-228-4730,347,6 days ago
Perch,"448 S Hill St, Los Angeles, CA 90013, United States",http://perchla.com/,+1 213-802-1770,6749,2 days ago
Water Grill,"544 S Grand Ave, Los Angeles, CA 90071, United States",https://www.watergrill.com/la,+1 213-891-0900,1994,a day ago
71Above,"633 W 5th St 71st floor, Los Angeles, CA 90071, United States",https://www.71above.com/,+1 213-712-2683,2473,21 hours ago
Philippe The Original,"1001 N Alameda St, Los Angeles, CA 90012, United States",https://www.philippes.com/,+1 213-628-3781,11308,9 hours ago
Oste,"8142 W 3rd St, Los Angeles, CA 90048, United States",http://ostelosangeles.com/,+1 323-413-2372,660,3 days ago
JOEY DTLA,"700 W 7th St Ste S430, Los Angeles, CA 90017, United States",https://joeyrestaurants.com/location/joey-dtla,+1 213-372-5335,2488,a day ago
San Laurel,"100 S Grand Ave, Los Angeles, CA 90012, United States",https://sanlaurel.com/,+1 213-349-8585,219,5 days ago
Providence,"5955 Melrose Ave, Los Angeles, CA 90038, United States",https://providencela.com/,+1 323-460-4170,1018,2 days ago
Bavel,"500 Mateo St #102, Los Angeles, CA 90013, United States",https://baveldtla.com/,+1 213-232-4966,1616,10 hours ago
Bavel,"500 Mateo St #102, Los Angeles, CA 90013, United States",https://baveldtla.com/,+1 213-232-4966,1616,10 hours ago
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, United States",http://www.republiquela.com/,+1 310-362-6115,6157,8 hours ago
Yamashiro Hollywood,"1999 N Sycamore Ave, Los Angeles, CA 90068, United States",http://www.yamashirohollywood.com/,+1 323-466-5125,4681,a day ago
Majordomo,"1725 Naud St, Los Angeles, CA 90012, United States",http://www.majordomo.la/,+1 323-545-4880,1153,a week ago
The Original Pantry Cafe,"877 S Figueroa St, Los Angeles, CA 90017, United States",https://pantrycafe.restaurant/,+1 213-972-9279,8110,6 minutes ago
The Factory Kitchen,"1300 Factory Pl, Los Angeles, CA 90013, United States",https://thefactorykitchen.com/,+1 213-996-6000,971,2 days ago
Manuela,"907 E 3rd St, Los Angeles, CA 90013, United States",http://manuela-la.com/,+1 323-849-0480,1249,a day ago
Maccheroni Republic,"332 S Broadway, Los Angeles, CA 90013, United States",http://www.maccheronirepublic.com/,+1 213-346-9725,2750,11 hours ago
The Exchange Restaurant,"416 W 8th St, Los Angeles, CA 90014, United States",https://www.theexchangela.com/,+1 213-395-9531,319,a week ago
IHOP,"800 Flower St, Los Angeles, CA 90017, United States",https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-800-s-flower-st-797?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=797&utm_content=website,+1 213-629-1759,3164,15 hours ago
Du-Pars | Restaurant and Bakery,"6333 W 3rd St, Los Angeles, CA 90036, United States",http://www.dupars.net/Store/,+1 323-933-8446,2700,a day ago
Here's Looking At You,"3901 W 6th St, Los Angeles, CA 90020, United States",https://www.hereslookingatyoula.com/,+1 213-568-3289,476,a day ago
LA Prime Steakhouse,"404 S Figueroa St, Los Angeles, CA 90071, United States",https://www.laprimesteakhouse.com/?utm_source=google&utm_medium=Yext,+1 213-612-4743,775,2 days ago
The Kickin' Crab,"6122 W Sunset Blvd, Los Angeles, CA 90028, United States",https://thekickincrab.com/hollywood-ca,+1 323-688-2158,313,a week ago
Home Restaurant,"1760 Hillhurst Ave, Los Angeles, CA 90027, United States",https://www.homerestaurantla.com/,+1 323-990-8016,2849,a day ago
Guelaguetza Restaurant,"3014 W Olympic Blvd, Los Angeles, CA 90006, United States",http://www.ilovemole.com/,+1 213-427-0608,6074,4 days ago
The Henry,"120 N Robertson Blvd, Los Angeles, CA 90048, United States",https://www.thehenryrestaurant.com/locations/the-henry-west-hollywood/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,+1 424-204-1595,860,a week ago
Three Borders Brunch and grill,"5269 W Olympic Blvd, Los Angeles, CA 90036, United States",,+1 323-272-4640,380,a week ago
Barton G. The Restaurant Los Angeles,"861 N La Cienega Blvd, Los Angeles, CA 90069, United States",https://www.bartong.com/restaurants/los-angeles/,+1 310-388-1888,1454,9 hours ago
Roots Indian Bistro,"7265 Melrose Ave, Los Angeles, CA 90046, United States",https://www.rootsindianbistro.com/,+1 323-297-3125,4032,9 hours ago
Everytable,"510 S Vermont Ave @, 5th St, Los Angeles, CA 90020, United States",https://everytable.com/,+1 323-406-8244,25,3 weeks ago
De La Nonna,"710 E 4th Pl, Los Angeles, CA 90013, United States",http://delanonna.com/,+1 213-221-1268,304,4 days ago
Caldo Verde,"Proper Hotel, 1100 S Broadway, Los Angeles, CA 90015, United States",https://www.properhotel.com/downtown-la/restaurants-bars/caldo-verde/,+1 213-806-1023,183,9 hours ago
Metropole Bar + Kitchen,"899 Francisco St, Los Angeles, CA 90017, United States",,+1 213-232-8866,135,a month ago
Lazy Dog Restaurant & Bar,"800 W Olympic Blvd A-180 #A-180, Los Angeles, CA 90015, United States",https://www.lazydogrestaurants.com/locations/la-live-ca,+1 213-502-0227,218,6 hours ago
Joyce Soul and Sea,"770 S Grand Ave A, Los Angeles, CA 90017, United States",https://www.joycela.com/,+1 213-395-0202,205,3 days ago
Orsa & Winston,"FARMERS AND MERCHANTS BANK BUILDING, 122 4th St, Los Angeles, CA 90013, United States",http://orsaandwinston.com/,+1 213-687-0300,287,a month ago
Guerrilla Tacos,"2000 E 7th St, Los Angeles, CA 90021, United States",http://www.guerrillatacos.com/?y_source=1_NzU1NzcwODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 213-375-3300,1291,4 days ago
DAMA Fashion District - Downtown LA Restaurant & Bar,"612 E 11th St, Los Angeles, CA 90015, United States",https://damafashiondistrict.com/,+1 213-741-0612,712,a week ago
Kendall's Brasserie,"Music Center, 135 N Grand Ave, Los Angeles, CA 90012, United States",http://www.kendallsla.com/,+1 213-972-7322,505,a week ago
Marino Restaurant,"6001 Melrose Ave, Los Angeles, CA 90038, United States",http://www.marinorestaurant.com/,+1 323-466-8812,341,3 days ago
Baroo,"905 E 2nd St #109, Los Angeles, CA 90012, United States",https://www.baroolosangeles.com/,+1 213-221-7967,328,3 days ago
Katsuya,"6300 Hollywood Blvd, Los Angeles, CA 90028, United States",https://www.sbe.com/restaurants/katsuya/,+1 323-871-8777,889,a week ago
Savoca,"900 W Olympic Blvd, Los Angeles, CA 90015, United States",https://www.marriott.com/hotels/hotel-information/restaurant/laxjw-jw-marriott-los-angeles-la-live/,+1 213-765-8630,90,2 days ago
Moonlark's Dinette,"1060 S Broadway, Los Angeles, CA 90015, United States",https://www.moonlarksla.com/,+1 213-725-5858,376,3 days ago
Hard Rock Cafe,"6801 Hollywood Blvd Suite 105, Los Angeles, CA 90028, United States",https://cafe.hardrock.com/hollywood-on-hollywood-blvd/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,+1 323-464-7625,5128,a day ago
Fixins Soul Kitchen,"800 W Olympic Blvd A150, Los Angeles, CA 90015, United States",http://www.fixinssoulkitchen.com/,+1 213-799-7685,2678,9 hours ago
Gwen,"6600 W Sunset Blvd, Los Angeles, CA 90028, United States",http://gwenla.com/,+1 323-946-7500,491,2 days ago
Cento,"4921 W Adams Blvd, Los Angeles, CA 90016, United States",http://www.centopasta.com/,,464,2 days ago
